Distance1,Distance2,Distance3,Distance4,Distance5,Distance6,Distance7,Distance8,Distance9,Distance10
3.2,0.9,6.1,1.4,5.25,1.9,8.0,2.25,8.0,2.3
3.3,0.8,6.1,1.3,5.3,1.75,8.0,6.7,8.0,2.15
3.2,0.85,5.9,1.35,5.25,1.8,8.0,2.2,7.95,2.1
1.75,0.95,5.95,1.5,5.25,1.95,7.75,2.25,7.9,2.15
3.35,1.05,5.8,1.55,5.15,2.0,7.8,7.1,2.45,2.2
3.45,1.1,5.85,1.6,5.15,2.05,7.15,5.55,3.1,2.2
3.5,1.05,5.9,1.55,5.2,1.95,7.25,6.0,3.0,2.0
2.55,0.95,5.95,1.4,4.85,1.85,7.3,2.05,8.0,1.75
3.65,0.85,5.7,1.3,5.25,1.7,8.0,1.9,2.7,1.55
3.7,0.75,5.75,1.2,5.45,1.6,6.95,2.2,8.0,1.3
2.3,0.55,5.85,1.0,5.5,1.4,7.45,1.5,8.0,1.0
2.8,0.4,6.25,0.0,5.65,0.35,7.5,0.2,0.25,0.6
2.85,0.35,6.25,0.05,5.65,4.8,7.55,0.35,1.4,0.55
3.0,0.05,6.25,0.35,5.65,0.75,7.55,0.8,1.7,0.1
3.0,0.05,6.25,0.35,5.65,0.75,7.55,0.8,1.7,0.1
3.15,0.4,6.25,0.85,5.65,1.2,7.5,6.65,2.05,0.85
3.2,0.95,6.2,1.45,5.6,1.75,7.5,6.65,8.0,1.65
2.95,1.5,5.9,2.3,5.65,2.55,7.5,7.5,8.0,2.55
3.15,2.7,5.9,3.1,6.7,3.05,7.5,3.8,8.0,3.7
3.6,3.55,6.0,4.0,5.6,4.3,7.5,6.35,4.95,4.6
4.3,4.05,6.0,4.6,7.1,4.95,7.55,5.2,5.25,5.15
4.7,4.45,6.05,5.0,7.6,5.35,7.55,5.95,7.95,5.5
4.95,4.65,6.05,5.1,7.65,5.45,7.6,5.75,7.95,5.7
4.9,4.65,6.1,5.1,7.25,5.45,0.0,0.0,8.0,5.55
4.65,4.4,6.2,4.9,7.25,5.25,7.7,5.45,8.0,5.3
4.35,4.1,6.2,4.55,7.3,4.9,7.7,5.1,5.45,4.9
3.8,3.75,6.2,4.15,7.35,4.45,7.75,6.5,8.0,4.45
3.25,3.2,6.2,3.65,7.05,3.9,7.75,6.2,8.0,3.8
2.75,2.7,6.2,3.05,5.9,4.75,7.4,6.2,4.05,3.15
3.4,2.2,6.2,2.6,5.65,2.95,7.3,6.2,8.0,2.7
4.15,1.95,6.25,2.35,7.4,2.65,7.35,6.15,8.0,2.5
1.9,1.8,6.15,2.2,7.8,2.55,7.25,2.75,8.0,2.45
4.1,1.85,6.2,2.25,7.75,2.6,7.3,2.8,8.0,2.55
3.1,2.0,6.1,2.4,7.75,2.75,7.2,6.05,8.0,2.7
3.1,2.25,6.15,2.65,7.75,3.0,7.25,6.05,8.0,2.85
4.2,2.75,6.1,3.15,7.7,3.5,7.25,6.05,8.0,3.35
2.8,2.75,6.15,3.2,7.7,3.55,7.25,6.05,8.0,3.4
2.75,2.7,6.15,3.15,7.7,3.5,7.65,6.05,8.0,3.35
3.25,2.6,6.15,3.05,5.55,3.4,7.2,6.05,8.0,3.25
2.6,2.5,6.1,2.95,7.75,3.3,7.25,3.95,8.0,3.15
4.2,2.45,6.15,2.85,7.75,3.2,8.0,3.4,8.0,3.1
3.25,2.4,6.2,2.85,7.7,3.15,8.0,7.3,8.0,3.1
3.35,2.45,6.2,2.85,6.9,3.2,8.0,6.1,8.0,3.2
2.65,2.6,6.2,3.0,5.65,3.35,8.0,6.1,8.0,3.35
2.8,2.75,6.2,3.15,7.0,3.5,8.0,6.85,8.0,3.55
2.95,2.9,6.2,3.3,6.95,3.65,8.0,6.85,8.0,3.7
3.1,3.0,6.2,3.45,6.95,3.8,8.0,7.7,8.0,3.85
3.15,3.1,6.2,3.5,5.1,3.85,8.0,7.7,8.0,3.95
4.25,3.1,6.2,3.5,7.8,3.85,8.0,4.1,8.0,4.0
4.2,3.1,6.15,3.5,5.4,3.85,8.0,4.1,8.0,3.95
3.1,3.0,6.15,3.45,5.6,3.8,8.0,6.1,8.0,3.85
3.0,2.95,6.15,3.35,5.6,3.7,8.0,6.1,8.0,3.75
2.9,2.85,6.15,3.25,5.6,3.6,8.0,7.65,8.0,3.65
2.85,2.8,6.15,3.2,5.0,3.55,8.0,7.65,8.0,3.6
2.75,2.7,6.15,3.1,5.6,3.45,8.0,6.05,8.0,3.55
2.65,2.6,6.05,3.05,5.55,3.35,7.9,3.6,8.0,3.45
4.15,2.55,6.05,2.95,5.55,3.3,7.9,6.05,7.95,3.4
4.15,2.55,6.05,2.95,5.55,3.3,7.9,6.05,7.95,3.4
2.6,2.55,6.05,2.95,5.55,3.3,7.2,3.55,8.0,3.35
2.6,2.55,6.05,3.0,5.55,3.3,7.2,3.55,7.95,3.4
2.8,2.75,6.05,3.15,5.55,3.45,7.2,6.05,7.95,3.5
3.15,3.1,6.05,3.45,6.45,3.75,7.25,6.05,7.95,3.85
3.55,3.5,6.05,3.85,5.55,4.65,7.2,6.05,8.0,4.35
4.0,3.95,6.15,4.35,5.35,4.65,7.65,4.9,8.0,4.9
4.5,4.25,6.1,4.75,5.6,5.05,7.3,5.35,8.0,5.35
4.85,4.6,6.2,5.1,6.05,5.45,8.0,5.7,8.0,5.75
5.2,4.9,6.2,5.35,6.1,5.7,8.0,6.0,8.0,6.05
0.1,1.35,0.25,0.65,0.55,0.6,0.05,0.05,0.0,0.0
1.15,1.15,0.25,0.4,0.75,0.35,0.9,0.2,0.0,0.0
0.45,1.05,0.3,0.3,0.9,0.2,1.05,0.3,0.0,0.0
0.5,1.0,0.4,0.2,0.1,0.1,1.05,1.0,0.0,0.0
0.45,1.0,0.4,0.2,1.0,0.95,1.05,0.25,0.0,0.0
0.4,1.1,0.35,0.35,0.9,0.3,0.95,0.2,0.0,0.0
0.05,1.35,0.1,0.65,0.65,0.65,0.75,0.15,0.0,0.0
5.05,4.85,6.4,5.35,0.0,0.0,8.0,5.9,7.95,7.65
4.55,4.35,6.4,4.8,5.75,5.15,7.6,5.35,7.9,5.55
4.5,3.85,6.2,5.05,5.35,4.55,7.2,4.7,7.95,4.9
0.0,0.0,0.0,0.0,0.0,0.0,7.15,4.05,7.95,7.65
3.45,2.45,6.15,2.75,5.65,3.15,8.0,3.45,7.9,3.65
4.2,1.45,6.3,2.35,5.6,2.3,7.1,2.65,7.9,2.8
4.1,0.5,6.25,3.0,5.25,1.55,7.4,2.0,8.0,7.55
4.1,0.5,6.25,3.0,5.25,1.55,7.4,2.0,8.0,7.55
0.0,0.0,0.0,0.0,2.0,0.35,7.3,1.45,8.0,1.8
2.5,3.65,5.7,4.55,5.3,2.45,8.0,7.85,0.0,0.0
0.0,0.0,0.0,0.0,1.85,5.15,6.05,6.65,7.85,7.0
0.0,0.0,0.0,0.0,3.55,4.75,5.7,6.65,8.0,7.15
0.0,0.0,0.0,0.0,4.2,4.6,5.4,6.55,8.0,7.1
2.15,2.3,8.0,5.2,2.75,7.75,5.2,7.25,7.9,6.6
8.0,2.3,8.0,5.2,2.2,7.85,5.2,7.3,8.0,6.7
7.8,2.3,7.6,5.3,7.9,7.85,6.75,7.45,8.0,6.7
8.0,2.3,7.25,7.95,7.55,7.85,7.45,7.95,8.0,7.9
8.0,2.3,6.85,7.95,7.3,7.85,8.0,7.75,8.0,7.95
8.0,2.3,6.55,7.95,7.05,7.85,8.0,7.85,8.0,7.7
8.0,7.3,6.2,7.45,6.85,7.25,8.0,7.95,7.9,7.75
8.0,2.3,8.0,7.45,6.75,7.2,8.0,7.75,7.05,7.85
0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.05,7.35,7.95
0.0,0.0,0.0,0.0,0.0,0.0,6.25,7.1,7.9,7.95
0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.1,7.8,7.95
0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.1,8.0,7.95
0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.2,8.0,7.95
0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.25,8.0,7.8
0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.25,8.0,7.8
0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.3,8.0,7.95
0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.3,8.0,7.95
8.0,2.3,8.0,7.95,7.0,7.85,8.0,7.95,8.0,7.95
8.0,2.3,8.0,7.95,8.0,7.85,8.0,7.95,8.0,7.95
8.0,2.3,8.0,7.95,7.75,7.95,7.9,7.95,8.0,7.95
0.0,0.0,0.0,0.0,0.0,0.0,7.9,7.35,8.0,7.95
0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.35,8.0,7.95
0.0,0.0,0.0,0.0,0.0,0.0,7.85,7.3,8.0,7.85
0.0,0.0,0.0,0.0,0.0,0.0,7.95,7.25,8.0,7.8
0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.25,8.0,7.75
