Distance1,Distance2,Distance3,Distance4,Distance5,Distance6,Distance7,Distance8,Distance9,Distance10
8.0,6.85,7.9,7.8,7.65,7.25,7.9,7.95,7.1,7.8
8.0,6.85,7.9,7.85,7.65,7.35,7.9,7.95,7.1,7.55
8.0,1.4,7.9,7.85,7.65,7.3,6.25,7.95,7.15,7.55
8.0,6.85,7.85,7.85,7.65,7.3,8.0,7.95,7.2,7.55
8.0,6.85,7.85,7.85,7.65,7.3,8.0,7.95,7.2,7.55
8.0,1.4,7.85,7.85,7.65,7.4,8.0,7.95,3.8,7.6
8.0,6.85,7.85,0.1,7.65,7.35,7.9,7.95,8.0,7.6
8.0,6.85,7.85,7.85,7.7,7.5,6.2,7.95,8.0,7.6
8.0,1.2,7.85,0.15,7.7,7.45,6.2,7.95,8.0,7.6
8.0,7.3,7.85,7.95,7.7,7.5,8.0,7.95,8.0,7.85
8.0,6.85,7.85,7.95,7.7,7.65,8.0,7.95,8.0,7.6
8.0,6.85,7.85,7.95,7.75,7.45,8.0,7.95,8.0,7.8
8.0,7.3,6.25,7.95,7.65,7.8,8.0,7.95,8.0,7.8
8.0,7.3,6.25,7.95,7.75,7.6,8.0,7.95,8.0,7.85
8.0,7.3,6.25,7.95,7.7,7.85,7.9,7.95,8.0,7.85
8.0,2.25,7.85,7.95,7.65,7.85,7.9,7.0,8.0,7.4
8.0,7.3,7.85,7.95,7.65,7.85,7.9,7.95,7.9,7.95
8.0,6.85,7.9,7.95,7.65,7.8,7.9,6.95,8.0,7.35
8.0,1.25,7.85,7.95,7.65,7.85,7.9,7.95,4.2,7.85
8.0,2.25,7.85,7.95,7.65,7.95,7.9,7.95,7.9,7.85
8.0,6.85,7.85,7.95,7.65,7.95,8.0,7.95,4.25,7.85
8.0,7.5,7.85,7.95,7.6,7.95,8.0,7.95,7.15,7.85
8.0,2.3,7.9,7.95,7.6,7.95,6.0,7.0,7.85,7.35
0.0,0.0,0.0,0.0,0.35,7.55,6.05,7.1,7.9,6.7
0.0,0.0,0.0,0.0,0.65,7.95,6.05,7.05,8.0,6.6
0.0,0.0,0.0,0.0,0.75,7.95,7.9,7.3,7.8,6.5
8.0,2.25,8.0,5.7,8.0,7.8,7.9,7.45,7.85,6.45
0.0,0.0,0.0,0.0,0.8,7.2,7.85,7.75,5.8,6.45
0.0,0.0,0.0,0.0,0.85,4.15,5.35,7.75,5.75,6.5
0.0,0.0,0.0,0.0,0.9,2.25,3.7,4.05,5.75,7.75
0.0,0.0,0.0,0.0,1.25,2.65,1.75,2.35,8.0,6.7
8.0,1.15,7.9,6.7,8.0,5.75,1.15,3.95,2.6,2.85
8.0,1.05,8.0,0.55,2.3,5.45,8.0,4.05,7.9,2.15
8.0,0.5,8.0,0.05,6.1,5.05,8.0,3.9,8.0,1.35
8.0,0.0,8.0,0.6,2.3,4.5,8.0,3.4,8.0,0.65
8.0,5.65,8.0,4.7,6.45,4.05,1.55,3.0,8.0,0.05
8.0,5.7,8.0,4.2,6.1,3.55,8.0,2.65,7.9,1.1
8.0,5.7,8.0,3.8,5.4,3.15,2.65,2.35,1.75,0.85
8.0,3.2,8.0,3.45,2.4,2.85,2.65,2.15,8.0,1.05
8.0,2.75,7.85,3.2,8.0,2.6,3.0,2.05,2.2,1.15
8.0,2.75,7.85,3.2,8.0,2.6,3.0,2.05,2.2,1.15
8.0,2.35,8.0,2.8,8.0,2.5,7.8,1.95,8.0,1.3
8.0,6.75,8.0,6.6,8.0,2.45,7.85,2.0,7.7,1.35
8.0,4.1,8.0,4.05,3.25,2.5,7.9,2.05,7.75,1.5
8.0,6.55,8.0,7.45,3.3,2.6,2.1,2.15,8.0,1.6
8.0,2.7,8.0,7.55,2.65,2.7,8.0,2.25,8.0,1.7
8.0,7.95,8.0,7.7,2.95,2.85,8.0,2.35,8.0,1.75
8.0,6.95,8.0,7.8,2.95,2.95,2.35,2.45,8.0,1.8
8.0,6.95,8.0,7.8,2.95,3.0,2.45,2.5,8.0,1.85
8.0,7.05,8.0,7.8,2.65,3.15,2.4,2.65,8.0,1.95
8.0,7.2,8.0,7.55,6.55,3.3,8.0,2.8,8.0,2.1
8.0,7.15,8.0,7.7,8.0,6.95,8.0,3.0,8.0,2.25
8.0,6.85,8.0,1.0,8.0,3.8,2.05,3.15,8.0,2.35
8.0,6.85,8.0,4.2,8.0,3.95,7.9,3.25,8.0,2.4
8.0,0.55,8.0,4.4,8.0,4.0,1.75,3.25,7.9,2.25
8.0,0.35,8.0,0.65,8.0,4.05,7.8,3.2,8.0,2.15
8.0,3.55,8.0,4.65,8.0,4.1,7.8,3.15,2.05,1.95
8.0,7.0,8.0,5.65,8.0,4.1,7.75,3.1,2.05,1.7
8.0,5.3,8.0,7.45,8.0,4.1,7.75,3.05,2.0,1.7
8.0,6.1,8.0,5.9,8.0,4.2,7.8,3.15,2.05,1.6
8.0,6.15,8.0,5.95,8.0,4.3,7.8,3.15,2.05,1.7
8.0,6.05,8.0,5.95,8.0,4.35,3.15,3.25,1.95,1.85
8.0,6.1,8.0,5.7,8.0,4.4,0.9,3.35,1.85,1.85
8.0,6.3,8.0,6.05,8.0,4.45,3.25,3.4,1.8,1.9
8.0,6.35,7.9,6.1,8.0,4.5,7.95,3.45,1.7,1.1
8.0,6.4,7.9,6.4,8.0,4.55,3.35,3.5,1.65,1.9
8.0,6.4,7.9,6.45,8.0,4.6,3.4,3.55,1.65,1.95
8.0,6.45,7.95,6.25,8.0,4.65,3.45,3.6,1.6,2.0
8.0,6.4,7.95,6.55,8.0,4.65,3.45,3.55,1.6,2.1
8.0,6.65,7.95,6.3,8.0,4.7,3.5,3.6,1.6,0.9
8.0,6.65,7.95,6.55,8.0,4.7,3.55,3.65,1.6,2.15
8.0,6.65,7.95,7.75,8.0,4.7,3.55,3.65,1.6,2.15
8.0,6.5,7.95,6.35,8.0,4.75,3.55,3.65,1.6,1.15
8.0,6.55,7.95,6.4,8.0,4.8,0.65,3.75,1.5,2.35
8.0,6.65,7.95,6.45,8.0,4.9,0.75,3.85,1.2,2.25
8.0,6.65,7.95,6.45,8.0,5.0,3.85,3.95,1.75,1.45
8.0,6.85,7.95,6.45,8.0,5.05,3.9,4.0,0.0,0.0
8.0,7.2,7.95,6.5,8.0,5.15,7.7,4.1,0.0,0.0
8.0,7.35,7.95,6.55,8.0,5.15,4.1,4.2,0.0,0.0
8.0,7.5,7.85,6.6,8.0,5.3,4.15,4.3,3.05,3.05
8.0,7.55,8.0,6.6,8.0,5.35,4.25,4.35,3.2,3.2
8.0,7.65,7.85,6.65,8.0,5.4,4.4,4.5,3.25,3.25
8.0,7.7,8.0,6.7,8.0,5.5,4.45,4.55,3.35,3.35
8.0,7.7,8.0,6.7,8.0,5.5,4.45,4.55,3.35,3.35
8.0,7.75,7.9,6.8,8.0,5.55,7.75,4.6,1.75,3.5
8.0,1.3,7.9,0.4,8.0,5.65,7.75,4.75,1.85,3.65
8.0,1.4,7.95,0.45,8.0,0.5,7.75,5.05,1.9,3.9
8.0,1.5,7.9,0.55,8.0,0.35,1.5,1.05,0.4,4.2
8.0,5.7,7.9,6.4,8.0,6.2,1.3,5.35,0.3,4.7
8.0,1.95,8.0,1.0,8.0,0.1,8.0,0.65,0.1,5.15
8.0,2.2,8.0,1.2,8.0,0.35,8.0,0.35,8.0,0.4
8.0,2.4,8.0,1.45,8.0,0.55,0.8,0.1,8.0,0.7
8.0,2.2,8.0,1.25,8.0,0.45,7.85,0.35,7.85,1.2
8.0,1.8,8.0,0.8,8.0,0.25,7.9,0.5,8.0,1.9
8.0,1.35,8.0,0.4,8.0,0.95,0.0,0.0,0.0,0.0
8.0,0.8,7.75,0.1,8.0,1.35,8.0,1.65,8.0,7.9
8.0,0.35,8.0,0.85,8.0,1.55,1.9,1.85,8.0,1.55
8.0,0.25,5.15,7.9,8.0,7.25,7.75,6.4,8.0,5.3
8.0,0.45,8.0,7.85,8.0,7.05,8.0,6.05,7.95,5.05
8.0,0.5,8.0,7.7,8.0,6.9,7.7,5.95,8.0,4.95
8.0,0.6,5.9,7.65,8.0,6.85,7.9,5.85,8.0,4.75
0.75,0.65,6.1,7.75,7.85,6.9,7.7,5.95,8.0,4.85
7.3,0.6,6.4,1.3,7.6,0.6,7.9,2.45,8.0,1.55
7.8,0.45,6.65,1.0,7.7,7.5,7.95,6.4,8.0,5.4
0.0,0.0,0.0,0.0,2.0,7.8,7.9,6.85,8.0,5.8
1.65,0.1,7.1,0.1,7.6,1.35,7.95,7.35,7.6,6.25
0.2,0.45,7.4,0.4,7.75,1.3,8.0,7.75,7.7,6.65
0.2,0.45,7.4,0.4,7.75,1.3,8.0,7.75,7.7,6.65
2.1,0.65,7.6,0.6,8.0,1.3,1.55,7.95,7.85,6.9
2.2,0.65,7.85,0.55,8.0,1.35,1.2,3.35,8.0,0.15
2.3,0.6,8.0,0.2,8.0,1.0,8.0,3.1,8.0,0.4
2.35,0.55,8.0,0.1,4.6,0.9,8.0,7.95,8.0,7.05
2.4,0.6,8.0,0.15,4.55,0.9,8.0,7.6,8.0,7.15
2.45,0.75,8.0,0.1,4.5,0.9,8.0,2.5,8.0,0.65
2.45,0.9,7.8,0.2,4.5,0.9,8.0,2.3,8.0,7.65
2.5,1.05,7.9,0.4,4.5,0.95,8.0,2.3,8.0,5.95
2.5,1.25,8.0,0.55,4.5,1.1,8.0,2.45,8.0,6.65
2.5,1.4,8.0,0.95,4.5,1.2,8.0,2.35,8.0,6.65
2.45,1.45,7.8,1.0,4.5,1.3,8.0,2.4,8.0,6.7
2.45,1.4,8.0,0.7,4.4,1.15,8.0,2.4,8.0,6.75
